ID,Top,Jungle,Mid,Bot,Support,Enemy Top,Enemy Jungle,Enemy Mid,Enemy Bot,Enemy Support,Team Gold,Team Kills,Team Deaths,Dragons,Dragon Soul,Baron,Rift Herald,First tower,First Kill,Team Total CC,Victory
EUW1_6241406287,Camille,LeeSin,Rumble,Kaisa,Nautilus,Singed,Maokai,Qiyana,Jhin,Zilean,57835,47,29,3,False,1,2,True,True,144,True
EUW1_6241406287,Singed,Maokai,Qiyana,Jhin,Zilean,Camille,LeeSin,Rumble,Kaisa,Nautilus,46845,29,47,0,False,0,0,False,False,202,False
EUW1_6241459100,Ornn,Rammus,Ryze,Kaisa,Nautilus,Mordekaiser,Udyr,Veigar,Twitch,Lulu,9100,4,1,0,False,0,0,False,True,21,True
EUW1_6241459100,Mordekaiser,Udyr,Veigar,Twitch,Lulu,Ornn,Rammus,Ryze,Kaisa,Nautilus,5725,1,4,0,False,0,0,False,False,10,False
EUW1_6241506730,KSante,Khazix,Vladimir,Tristana,Amumu,Garen,Elise,Renekton,Xayah,Leona,40535,19,31,1,False,0,0,False,False,95,False
EUW1_6241506730,Garen,Elise,Renekton,Xayah,Leona,KSante,Khazix,Vladimir,Tristana,Amumu,47125,31,19,2,False,1,2,True,True,126,True
EUW1_6241549347,Poppy,Khazix,Ekko,Draven,Nautilus,KSante,Elise,Sylas,Ashe,Braum,33285,13,38,1,False,0,0,False,False,88,False
EUW1_6241549347,KSante,Elise,Sylas,Ashe,Braum,Poppy,Khazix,Ekko,Draven,Nautilus,42725,38,13,1,False,0,2,True,True,127,True
EUW1_6241617670,Zilean,Rengar,Taliyah,Kaisa,Ashe,Shen,LeeSin,Swain,Xayah,Karma,30900,7,23,0,False,0,0,False,False,95,False
EUW1_6241617670,Shen,LeeSin,Swain,Xayah,Karma,Zilean,Rengar,Taliyah,Kaisa,Ashe,35050,23,7,3,False,0,2,True,True,76,True
EUW1_6241652772,Riven,Diana,Yasuo,Ezreal,Lulu,Talon,Ekko,Irelia,Zeri,Ashe,43208,31,16,2,False,0,2,True,True,76,True
EUW1_6241652772,Talon,Ekko,Irelia,Zeri,Ashe,Riven,Diana,Yasuo,Ezreal,Lulu,34850,16,31,0,False,0,0,False,False,73,False
EUW1_6241657229,Fiora,Evelynn,Irelia,Xayah,Pyke,Riven,RekSai,Kassadin,Varus,Alistar,45485,24,32,1,False,0,1,True,True,67,False
EUW1_6241657229,Riven,RekSai,Kassadin,Varus,Alistar,Fiora,Evelynn,Irelia,Xayah,Pyke,49050,32,24,2,False,1,1,False,False,133,True
EUW1_6241698836,Jax,Elise,Syndra,Tristana,Twitch,KSante,Talon,Kassadin,Zeri,Janna,72325,32,35,3,False,1,2,True,False,104,False
EUW1_6241698836,KSante,Talon,Kassadin,Zeri,Janna,Jax,Elise,Syndra,Tristana,Twitch,70845,35,32,2,False,1,0,False,True,135,True
EUW1_6241780599,Karma,MonkeyKing,Ryze,Varus,Jhin,Teemo,Talon,Tristana,Sivir,Heimerdinger,47065,24,37,0,False,0,0,False,True,101,False
EUW1_6241780599,Teemo,Talon,Tristana,Sivir,Heimerdinger,Karma,MonkeyKing,Ryze,Varus,Jhin,56385,37,24,4,True,1,2,True,False,81,True
EUW1_6241841126,Gangplank,Elise,Ryze,Lucian,Nami,Kled,Vi,Syndra,Jhin,Karma,52635,25,16,1,False,1,1,False,False,73,True
EUW1_6241841126,Kled,Vi,Syndra,Jhin,Karma,Gangplank,Elise,Ryze,Lucian,Nami,45820,16,25,2,False,0,1,True,True,88,False
EUW1_6241995922,Jax,MonkeyKing,Syndra,Samira,Alistar,Kennen,LeeSin,Katarina,Lucian,Nami,38810,13,45,0,False,0,0,False,False,80,False
EUW1_6241995922,Kennen,LeeSin,Katarina,Lucian,Nami,Jax,MonkeyKing,Syndra,Samira,Alistar,52725,45,13,2,False,0,1,True,True,62,True
EUW1_6242066039,Katarina,FiddleSticks,Yone,Varus,Bard,KSante,Elise,Yasuo,Seraphine,Sona,42645,17,34,1,False,0,1,False,False,153,False
EUW1_6242066039,KSante,Elise,Yasuo,Seraphine,Sona,Katarina,FiddleSticks,Yone,Varus,Bard,49325,34,17,2,False,1,1,True,True,110,True
EUW1_6242148931,KSante,Maokai,Ryze,Caitlyn,Sona,Jax,Udyr,Azir,Jhin,Karma,44175,26,6,1,False,1,2,True,True,133,True
EUW1_6242148931,Jax,Udyr,Azir,Jhin,Karma,KSante,Maokai,Ryze,Caitlyn,Sona,38145,6,26,2,False,0,0,False,False,87,False
EUW1_6242223100,Singed,Diana,Yone,Irelia,Nautilus,MonkeyKing,Teemo,Kassadin,Ezreal,Karma,43275,18,26,0,False,0,1,False,False,129,False
EUW1_6242223100,MonkeyKing,Teemo,Kassadin,Ezreal,Karma,Singed,Diana,Yone,Irelia,Nautilus,45285,26,18,2,False,0,1,True,True,117,True
EUW1_6242272929,Gnar,MonkeyKing,Syndra,Kalista,Nautilus,Kayle,Maokai,Azir,Ezreal,Janna,65283,24,20,4,True,1,2,True,True,180,True
EUW1_6242272929,Kayle,Maokai,Azir,Ezreal,Janna,Gnar,MonkeyKing,Syndra,Kalista,Nautilus,65363,20,24,2,False,1,0,False,False,182,False
EUW1_6242302044,Akshan,Sylas,Viktor,Samira,Nautilus,Cassiopeia,Belveth,Singed,Lucian,Nami,55325,39,19,0,False,1,0,True,True,92,True
EUW1_6242302044,Cassiopeia,Belveth,Singed,Lucian,Nami,Akshan,Sylas,Viktor,Samira,Nautilus,40450,19,39,2,False,0,2,False,False,84,False
EUW1_6242372306,Jayce,Belveth,Vladimir,Jhin,Karma,Jax,Maokai,Syndra,Draven,Nautilus,37810,23,14,1,False,0,2,True,False,60,True
